ID,Trial,Season,time,frame,x,y,ANGLE,speed,acceleration
20201101-3,T8,spring,2.2,66.0,109.93934,121.605774,1.7081379,18.476482,248.89545
20201101-3,T8,spring,2.233333,67.0,109.84656,120.60052,1.4025897,30.286343,432.30386
20201101-3,T8,spring,2.266666,68.0,109.58961,119.16612,1.5282612,43.717293,413.5268
20201101-3,T8,spring,2.3,69.0,109.348305,117.76347,1.3785387,42.696697,31.893274
20201101-3,T8,spring,2.333333,70.0,109.22671,116.33487,1.3487103,43.013508,110.24509
20201101-3,T8,spring,2.366666,71.0,109.15709,114.833435,1.5063157,45.09194,80.53278
20201101-3,T8,spring,2.4,72.0,109.09864,113.40736,1.6257707,42.81727,68.605
20201101-3,T8,spring,2.433333,73.0,109.04675,111.824455,1.5426152,47.513203,141.31464
20201101-3,T8,spring,2.466666,74.0,109.05725,110.39056,1.5492827,43.01839,145.39754
20201101-3,T8,spring,2.5,75.0,109.09889,108.7681,1.6366911,48.689,171.96716
20201101-3,T8,spring,2.533333,76.0,109.04972,107.34227,1.6392726,42.800545,194.9043
20201101-3,T8,spring,2.566666,77.0,108.96368,105.69421,1.5603237,49.509686,202.75227
20201101-3,T8,spring,2.6,78.0,109.12378,104.42323,1.6246176,38.42979,405.3053
20201101-3,T8,spring,2.633333,79.0,109.32384,102.89722,1.7619704,46.17277,232.37904
20201101-3,T8,spring,2.666666,80.0,109.24642,101.4681,1.7431595,42.936775,264.51843
20201101-3,T8,spring,2.7,81.0,109.39232,99.91778,1.609121,46.71413,228.64609
20201101-3,T8,spring,2.733333,82.0,109.57643,98.34926,1.7696701,47.379173,38.118923
20201101-3,T8,spring,2.766666,83.0,109.61275,97.00475,1.6806847,40.35026,241.54391
20201101-3,T8,spring,2.8,84.0,109.75378,95.56526,1.7037933,43.39055,127.20611
20201101-3,T8,spring,2.833333,85.0,110.014275,94.51232,1.794941,32.541023,364.09744
20201101-3,T8,spring,2.866666,86.0,110.23389,93.6964,1.7315781,25.348902,216.4804
20201101-3,T8,spring,2.9,87.0,110.52969,92.56638,2.0623355,35.042137,290.85675
20201101-3,T8,spring,2.933333,88.0,110.960556,91.65045,2.1323838,30.366629,227.80547
20201101-3,T8,spring,2.966666,89.0,111.53177,90.80888,2.1154056,30.513693,142.94589
20201101-3,T8,spring,3.0,90.0,112.09283,90.17064,2.2647629,25.493187,183.23401
20201101-3,T8,spring,3.033333,91.0,112.57132,89.698746,2.3035471,20.16155,167.12093
20201101-3,T8,spring,3.066666,92.0,113.00862,89.100815,2.4515002,22.223476,119.33335
20201101-3,T8,spring,3.1,93.0,113.30296,88.677505,2.4741137,15.467223,203.11829
20201101-3,T8,spring,3.133333,94.0,113.4573,88.2509,-0.84459937,13.610161,126.03443
20201101-3,T8,spring,3.166666,95.0,113.74395,87.61232,2.203302,20.999195,224.895
20201101-3,T8,spring,3.2,96.0,113.76857,86.80877,1.9293854,24.11729,278.66403
20201101-3,T8,spring,3.233333,97.0,113.46488,85.879234,1.7868377,29.337002,316.49734
20201101-3,T8,spring,3.266666,98.0,112.877464,84.997696,1.439738,31.77997,258.99057
20201101-3,T8,spring,3.3,99.0,112.57388,84.21234,1.290704,25.25917,269.73325
20201101-3,T8,spring,3.333333,100.0,112.087074,82.971725,1.1241164,39.981617,441.70428
20201101-3,T8,spring,3.366666,101.0,111.43628,81.75221,1.1080251,41.469307,148.8095
20201101-3,T8,spring,3.4,102.0,110.774666,80.77527,0.994094,35.39613,218.55208
,,,,,,,,,
20201101-3,T8,spring,3.466666,104.0,109.4383,78.10308,1.0024985,38.53727,379.4622
20201101-3,T8,spring,3.5,105.0,108.71742,76.91272,1.1191945,41.748074,153.1433
20201101-3,T8,spring,3.533333,106.0,108.2025,75.7704,1.1375107,37.59067,190.3153
20201101-3,T8,spring,3.566666,107.0,108.06655,75.39007,-1.8950843,12.117099,765.9372
